"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.82971956423089e-05,22,808,4.02271403610949,"Carbohydrate derivative metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:1901135","IPR000089 IPR043129 IPR000726 IPR021149 IPR000941 IPR029044 IPR007676 IPR003038 IPR001805 IPR005888 IPR012341 IPR002241 IPR001732 IPR036291 IPR016040 IPR023214 IPR014746 IPR013780 IPR002326 IPR008927 IPR008928 IPR008948"
0.00471267797215097,13,494,3.88798198705319,"Carbohydrate derivative biosynthetic proc. "," http://amigo.geneontology.org/amigo/term/GO:1901137","IPR021149 IPR029044 IPR007676 IPR003038 IPR001805 IPR005888 IPR012341 IPR001732 IPR016040 IPR023214 IPR014746 IPR013780 IPR002326"
0.0156459900408527,11,424,3.83296337402886,"Nucleobase-containing small molecule metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0055086","IPR000089 IPR043129 IPR000941 IPR001805 IPR005888 IPR001732 IPR036291 IPR016040 IPR023214 IPR002326 IPR008948"
0.00666238607196892,13,517,3.71501567041446,"Generation of precursor metabolites and energy "," http://amigo.geneontology.org/amigo/term/GO:0006091","IPR001236 IPR024084 IPR000089 IPR043129 IPR004790 IPR000941 IPR008972 IPR002327 IPR013780 IPR002326 IPR008927 IPR009056 IPR008948"
0.000207896695992956,25,1196,3.08828000643857,"Carbohydrate metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0005975","IPR001236 IPR000089 IPR043129 IPR011611 IPR000726 IPR000941 IPR005150 IPR012341 IPR000322 IPR002241 IPR001732 IPR001701 IPR016040 IPR015955 IPR017853 IPR000757 IPR013780 IPR002772 IPR008927 IPR008928 IPR008948 IPR011013 IPR008979 IPR001764 IPR019378"
0.000571960853619434,22,1055,3.08090326177865,"Carboxylic acid metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0019752","IPR001236 IPR024084 IPR000089 IPR043129 IPR000873 IPR004790 IPR008146 IPR010255 IPR000941 IPR015421 IPR005804 IPR002629 IPR001106 IPR001732 IPR003480 IPR004839 IPR015878 IPR001451 IPR005067 IPR000796 IPR008927 IPR008948"
0.000458163629174891,24,1184,2.99479693597341,"Oxoacid metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0043436","IPR001236 IPR024084 IPR000089 IPR043129 IPR000873 IPR004790 IPR008146 IPR010255 IPR000941 IPR001433 IPR015421 IPR005804 IPR002629 IPR001106 IPR001732 IPR003480 IPR014746 IPR004839 IPR015878 IPR001451 IPR005067 IPR000796 IPR008927 IPR008948"
0.000571960853619434,24,1228,2.88749150830009,"Organic acid metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0006082","IPR001236 IPR024084 IPR000089 IPR043129 IPR000873 IPR004790 IPR008146 IPR010255 IPR000941 IPR001433 IPR015421 IPR005804 IPR002629 IPR001106 IPR001732 IPR003480 IPR014746 IPR004839 IPR015878 IPR001451 IPR005067 IPR000796 IPR008927 IPR008948"
1.82971956423089e-05,35,1834,2.8195289219088,"Small molecule metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0044281","IPR001236 IPR024084 IPR000089 IPR043129 IPR000873 IPR004790 IPR008146 IPR010255 IPR000941 IPR001433 IPR015421 IPR017938 IPR005804 IPR002629 IPR001805 IPR001106 IPR005888 IPR000043 IPR001732 IPR036291 IPR016040 IPR003480 IPR002133 IPR023214 IPR014746 IPR004839 IPR015878 IPR001451 IPR005067 IPR000796 IPR029056 IPR002326 IPR008927 IPR008948 IPR019378"
0.0356722912328898,14,750,2.7578752228164,"Small molecule biosynthetic proc. "," http://amigo.geneontology.org/amigo/term/GO:0044283","IPR008146 IPR010255 IPR015421 IPR017938 IPR005804 IPR002629 IPR001805 IPR001106 IPR001732 IPR023214 IPR015878 IPR001451 IPR005067 IPR029056"
